slug,title,year,startDate,endDate,days,miles,elevationGain,startPoint,endPoint,pctMileStart,pctMileEnd,description,tags
2023-kms-to-olancha,Kennedy Meadows to Olancha,2023,2023-05-27,2023-05-28,2,31.9,4750,Kennedy Meadows South,~0.5 miles short of Olancha Pass junction,705,721,An early season overnighter with new gear and new ambitions,"southern sierra, overnighter, memorial day, out-and-back, hot, solo"
olancha-to-chicken-spring,Olancha Pass to Chicken Spring Lake,,,,,,,,Chicken Spring Lake,721,732,Coming soon.,southern sierra
chicken-spring-lake-whitney-meadows,Chicken Spring Lake-Whitney Meadows,,,,,,,Chicken Spring Lake,,732,,,
mtr-whitney-meadows,MTR-Whitney Meadows,,,,,,,,,,,Coming soon.,
muir-trail-ranch-connector,Muir Trail Ranch Connector,,,,,,,,Muir Trail Ranch,,,,john muir wilderness
mtr-vvr,MTR-VVR,,,,,,,,,,,Coming soon.,
vvr-ducks,VVR-Ducks,,,,,,,,,,,Coming soon.,
ducks-reds,Ducks-Reds,,,,,,,,,,,Coming soon.,
agnew-meadows-reds,Agnew Meadows-Reds,,,,,,,,,,,Coming soon.,
thousand-island-agnew-meadows,Thousand Island-Agnew Meadows,,,,,,,,,,,Coming soon.,
tuolumne-meadows-agnew-meadows,Tuolumne Meadows-Agnew Meadows,,,,,,,,,,,Coming soon.,
tuolumne-meadows-connector,Tuolumne Meadows Connector,,,,,,,,,,,Coming soon.,
leavitt-meadows-tuolumne-meadows,Leavitt Meadows-Tuolumne Meadows,,,,,,,,,,,Coming soon.,
sonora-pass-latopie-lake,Sonora Pass-Latopie Lake,,,,,,,,,,,Coming soon.,
leavitt-lake-latopie-lake,Leavitt Lake-Latopie Lake,,,,,,,,,,,Coming soon.,
leavitt-lake-leavitt-meadow,Leavitt Lake to Leavitt Meadow,,,,,,,,,,,Coming soon.,
sonora-pass-disaster-creek,Sonora Pass-Disaster Creek,,,,,,,,,,,Coming soon.,
disaster-creek-wolf-creek,Disaster Creek-Wolf Creek,,,,,,,,,,,Coming soon.,
ebbetts-wolf-creek,Ebbetts-Wolf Creek,,,,,,,,,,,Coming soon.,
ebbetts-raymond,Ebbetts-Raymond,,,,,,,,,,,Coming soon.,
blue-lakes-raymond,Blue Lakes-Raymond,,,,,,,,,,,Coming soon.,
blue-lake-carson-pass,Blue Lake-Carson Pass,,,,,,,,,,,Coming soon.,
carson-showers,Carson-Showers,,,,,,,,,,,Coming soon.,
echo-summit-to-showers-lake,Echo Summit to Showers Lake,,,,,,,,Showers Lake,1090,1095,Coming soon.,desolation wilderness
echo-summit-connector,Echo Summit Connector,,,,,,,,,,,Coming soon.,
echo-aloha-via-lake-of-the-woods,Echo-Aloha via Lake of the Woods,,,,,,,,,,,Coming soon.,
aloha-echo-connector,Aloha-Echo Connector,,,,,,,,,,,Coming soon.,
desolation-loop,Desolation Loop,,,,,,,,,,,Coming soon.,
ludlow-velma,Ludlow-Velma,,,,,,,,,,,Coming soon.,
ludlow-five-lakes,Ludlow-Five Lakes,,,,,,,,,,,Coming soon.,
granite-chief-five-lakes,Granite Chief-Five Lakes,,,,,,,,,,,Coming soon.,
donner-pass-granite-chief,Donner Pass-Granite Chief,,,,,,,,,,,Coming soon.,
donner-i-80,Donner to I-80,,,,,,,,,,,Coming soon.,
